annotation	chrom	chromEnd	chromStart	createdBy	lastModifiedBy	track
peakEnd	chr1	52086099.0	52083299.0			aorta_ENCFF115HTK
noPeak	chr1	52122799.0	52087199.0			aorta_ENCFF115HTK
noPeak	chr1	52188399.0	52132599.0			aorta_ENCFF115HTK
peakStart	chr1	52195399.0	52192499.0			aorta_ENCFF115HTK
peakEnd	chr1	52198699.0	52195599.0			aorta_ENCFF115HTK
noPeak	chr1	52256299.0	52210399.0			aorta_ENCFF115HTK
noPeak	chr1	52330699.0	52261999.0			aorta_ENCFF115HTK
peakStart	chr1	52343999.0	52338999.0			aorta_ENCFF115HTK
peakEnd	chr1	52347899.0	52344199.0			aorta_ENCFF115HTK
noPeak	chr1	52405399.0	52351299.0			aorta_ENCFF115HTK
noPeak	chr1	52450099.0	52407399.0			aorta_ENCFF115HTK
noPeak	chr1	52491599.0	52460699.0			aorta_ENCFF115HTK
peakStart	chr1	52498899.0	52495299.0			aorta_ENCFF115HTK
peakEnd	chr1	52501699.0	52499199.0			aorta_ENCFF115HTK
noPeak	chr1	52516899.0	52502999.0			aorta_ENCFF115HTK
peakStart	chr1	52521099.0	52517499.0			aorta_ENCFF115HTK
peakEnd	chr1	52525799.0	52521499.0			aorta_ENCFF115HTK
noPeak	chr1	52560499.0	52526799.0			aorta_ENCFF115HTK
noPeak	chr1	52597399.0	52562199.0			aorta_ENCFF115HTK
peakStart	chr1	52608099.0	52601899.0			aorta_ENCFF115HTK
peakEnd	chr1	52611979.0	52608239.0			aorta_ENCFF115HTK
noPeak	chr1	52659599.0	52614899.0			aorta_ENCFF115HTK
noPeak	chr1	52863999.0	52846399.0			aorta_ENCFF115HTK
peakStart	chr1	52870199.0	52867149.0			aorta_ENCFF115HTK
peakEnd	chr1	52873499.0	52870449.0			aorta_ENCFF115HTK
peakStart	chr1	85666699.0	85661299.0			aorta_ENCFF115HTK
peakEnd	chr1	85671599.0	85666999.0			aorta_ENCFF115HTK
peakEnd	chr1	150162379.0	150159299.0			aorta_ENCFF115HTK
noPeak	chr1	151640999.0	151609499.0			aorta_ENCFF115HTK
peakStart	chr1	184942799.0	184937299.0			aorta_ENCFF115HTK
peakEnd	chr1	184946699.0	184943379.0			aorta_ENCFF115HTK
noPeak	chr1	184984779.0	184948219.0			aorta_ENCFF115HTK
noPeak	chr1	185011679.0	184986659.0			aorta_ENCFF115HTK
peakStart	chr1	185014819.0	185012839.0			aorta_ENCFF115HTK
peakEnd	chr1	185017599.0	185015359.0			aorta_ENCFF115HTK
noPeak	chr1	185034819.0	185019239.0			aorta_ENCFF115HTK
noPeak	chr1	185078979.0	185037299.0			aorta_ENCFF115HTK
noPeak	chr1	185121299.0	185081719.0			aorta_ENCFF115HTK
peakStart	chr1	185125819.0	185122419.0			aorta_ENCFF115HTK
peakEnd	chr1	185129599.0	185126619.0			aorta_ENCFF115HTK
noPeak	chr1	185167779.0	185132959.0			aorta_ENCFF115HTK
noPeak	chr1	185215979.0	185171419.0			aorta_ENCFF115HTK
noPeak	chr1	185273899.0	185219299.0			aorta_ENCFF115HTK
peakStart	chr1	185285599.0	185280199.0			aorta_ENCFF115HTK
peakEnd	chr1	185291199.0	185286499.0			aorta_ENCFF115HTK
noPeak	chr1	185360899.0	185300099.0			aorta_ENCFF115HTK
noPeak	chr1	185573799.0	185390599.0			aorta_ENCFF115HTK
peakStart	chr1	201709049.0	201705999.0			aorta_ENCFF115HTK
peakEnd	chr1	201715099.0	201709299.0			aorta_ENCFF115HTK
noPeak	chr1	201742349.0	201720449.0			aorta_ENCFF115HTK
peakStart	chr1	201798449.0	201795399.0			aorta_ENCFF115HTK
peakEnd	chr1	201801449.0	201798699.0			aorta_ENCFF115HTK
noPeak	chr1	201827199.0	201803499.0			aorta_ENCFF115HTK
noPeak	chr1	201854449.0	201829599.0			aorta_ENCFF115HTK
peakStart	chr1	201858099.0	201855499.0			aorta_ENCFF115HTK
peakEnd	chr1	201860649.0	201858249.0			aorta_ENCFF115HTK
noPeak	chr1	201881149.0	201862449.0			aorta_ENCFF115HTK
noPeak	chr1	201906999.0	201886499.0			aorta_ENCFF115HTK
peakEnd	chr1	201918799.0	201915349.0			aorta_ENCFF115HTK
peakEnd	chr1	201927299.0	201924899.0			aorta_ENCFF115HTK
noPeak	chr1	201945599.0	201929949.0			aorta_ENCFF115HTK
peakStart	chr1	201952149.0	201949699.0			aorta_ENCFF115HTK
noPeak	chr1	201965649.0	201959899.0			aorta_ENCFF115HTK
noPeak	chr1	202000499.0	201996049.0			aorta_ENCFF115HTK
noPeak	chr1	202028549.0	202010999.0			aorta_ENCFF115HTK
noPeak	chr1	202083999.0	202052149.0			aorta_ENCFF115HTK
peakStart	chr1	220701499.0	220696299.0			aorta_ENCFF115HTK
peakEnd	chr1	220707799.0	220702399.0			aorta_ENCFF115HTK
noPeak	chr1	220757399.0	220715899.0			aorta_ENCFF115HTK
noPeak	chr1	241317265.0	237967538.0			aorta_ENCFF115HTK
noPeak	chr2	131846879.0	131835159.0			aorta_ENCFF115HTK
peakStart	chr2	131850799.0	131848239.0			aorta_ENCFF115HTK
peakEnd	chr2	131853039.0	131851159.0			aorta_ENCFF115HTK
noPeak	chr2	131859799.0	131853999.0			aorta_ENCFF115HTK
peakStart	chr2	131863279.0	131860639.0			aorta_ENCFF115HTK
peakEnd	chr2	131866319.0	131863519.0			aorta_ENCFF115HTK
noPeak	chr2	131879919.0	131866679.0			aorta_ENCFF115HTK
noPeak	chr2	131907919.0	131882999.0			aorta_ENCFF115HTK
noPeak	chr2	131935719.0	131909839.0			aorta_ENCFF115HTK
noPeak	chr2	131962959.0	131937279.0			aorta_ENCFF115HTK
noPeak	chr2	131993879.0	131963999.0			aorta_ENCFF115HTK
noPeak	chr2	132037079.0	132004919.0			aorta_ENCFF115HTK
noPeak	chr2	132079199.0	132045799.0			aorta_ENCFF115HTK
noPeak	chr2	132110559.0	132081879.0			aorta_ENCFF115HTK
noPeak	chr2	132153319.0	132124279.0			aorta_ENCFF115HTK
noPeak	chr2	132188039.0	132156679.0			aorta_ENCFF115HTK
noPeak	chr2	132218879.0	132190239.0			aorta_ENCFF115HTK
noPeak	chr2	132242319.0	132220199.0			aorta_ENCFF115HTK
peakStart	chr2	132250519.0	132244399.0			aorta_ENCFF115HTK
peakEnd	chr2	132255319.0	132250799.0			aorta_ENCFF115HTK
noPeak	chr2	132274359.0	132255839.0			aorta_ENCFF115HTK
noPeak	chr2	132307399.0	132289679.0			aorta_ENCFF115HTK
noPeak	chr2	132341399.0	132309479.0			aorta_ENCFF115HTK
noPeak	chr2	132384359.0	132349639.0			aorta_ENCFF115HTK
noPeak	chr2	132418359.0	132387079.0			aorta_ENCFF115HTK
noPeak	chr2	132438279.0	132433879.0			aorta_ENCFF115HTK
peakStart	chr2	132439879.0	132438559.0			aorta_ENCFF115HTK
peakEnd	chr2	132443999.0	132439999.0			aorta_ENCFF115HTK
noPeak	chr2	132462559.0	132444719.0			aorta_ENCFF115HTK
noPeak	chr2	132498439.0	132463799.0			aorta_ENCFF115HTK
noPeak	chr2	136731249.0	136644758.0			aorta_ENCFF115HTK
peakStart	chr2	136742590.0	136740445.0			aorta_ENCFF115HTK
peakEnd	chr2	136745617.0	136743237.0			aorta_ENCFF115HTK
noPeak	chr2	136866717.0	136752091.0			aorta_ENCFF115HTK
noPeak	chr2	137509669.0	137269995.0			aorta_ENCFF115HTK
peakStart	chr2	137522987.0	137518655.0			aorta_ENCFF115HTK
peakEnd	chr2	137529919.0	137523681.0			aorta_ENCFF115HTK
noPeak	chr2	137596344.0	137536290.0			aorta_ENCFF115HTK
peakStart	chr3	110790499.0	110785399.0			aorta_ENCFF115HTK
peakEnd	chr3	110796699.0	110791199.0			aorta_ENCFF115HTK
noPeak	chr3	110840699.0	110798099.0			aorta_ENCFF115HTK
noPeak	chr3	111331999.0	110841999.0			aorta_ENCFF115HTK
peakStart	chr3	111393499.0	111390699.0			aorta_ENCFF115HTK
peakEnd	chr3	111399299.0	111393699.0			aorta_ENCFF115HTK
noPeak	chr3	111570799.0	111405599.0			aorta_ENCFF115HTK
peakStart	chr3	111578899.0	111572399.0			aorta_ENCFF115HTK
peakEnd	chr3	111586199.0	111579299.0			aorta_ENCFF115HTK
noPeak	chr3	111626739.0	111597708.0			aorta_ENCFF115HTK
noPeak	chr3	111693505.0	111669016.0			aorta_ENCFF115HTK
peakStart	chr3	111698079.0	111696299.0			aorta_ENCFF115HTK
peakEnd	chr3	111699829.0	111698169.0			aorta_ENCFF115HTK
noPeak	chr3	111716018.0	111701107.0			aorta_ENCFF115HTK
noPeak	chr3	135676315.0	135570123.0			aorta_ENCFF115HTK
peakStart	chr3	135684903.0	135680911.0			aorta_ENCFF115HTK
peakEnd	chr3	135687284.0	135685364.0			aorta_ENCFF115HTK
noPeak	chr3	135774281.0	135692812.0			aorta_ENCFF115HTK
noPeak	chr3	135904086.0	135860494.0			aorta_ENCFF115HTK
peakStart	chr3	135914420.0	135905910.0			aorta_ENCFF115HTK
peakEnd	chr3	135920945.0	135915051.0			aorta_ENCFF115HTK
noPeak	chr3	135944711.0	135920950.0			aorta_ENCFF115HTK
noPeak	chr3	135966053.0	135944980.0			aorta_ENCFF115HTK
peakStart	chr3	135969358.0	135967636.0			aorta_ENCFF115HTK
peakEnd	chr3	135972481.0	135969601.0			aorta_ENCFF115HTK
noPeak	chr3	136022390.0	135972500.0			aorta_ENCFF115HTK
peakStart	chr3	155462583.0	155460300.0			aorta_ENCFF115HTK
noPeak	chr4	40051829.0	39999334.0			aorta_ENCFF115HTK
peakStart	chr4	40058221.0	40054615.0			aorta_ENCFF115HTK
peakEnd	chr4	40062502.0	40058622.0			aorta_ENCFF115HTK
noPeak	chr4	40169654.0	40066412.0			aorta_ENCFF115HTK
noPeak	chr4	40507127.0	40398886.0			aorta_ENCFF115HTK
noPeak	chr4	40516129.0	40507281.0			aorta_ENCFF115HTK
noPeak	chr4	40522347.0	40516130.0			aorta_ENCFF115HTK
noPeak	chr9	117099237.0	117065194.0			aorta_ENCFF115HTK
noPeak	chr9	117125973.0	117106009.0			aorta_ENCFF115HTK
noPeak	chr9	117141885.0	117128093.0			aorta_ENCFF115HTK
peakStart	chr9	117149044.0	117142292.0			aorta_ENCFF115HTK
peakEnd	chr9	117151937.0	117150007.0			aorta_ENCFF115HTK
noPeak	chr9	117157338.0	117152900.0			aorta_ENCFF115HTK
peakStart	chr9	117160469.0	117158250.0			aorta_ENCFF115HTK
peakEnd	chr9	117162880.0	117160758.0			aorta_ENCFF115HTK
noPeak	chr9	117185061.0	117166930.0			aorta_ENCFF115HTK
noPeak	chr9	117206203.0	117190097.0			aorta_ENCFF115HTK
noPeak	chr9	117223465.0	117211506.0			aorta_ENCFF115HTK
noPeak	chr9	117243235.0	117225875.0			aorta_ENCFF115HTK
noPeak	chr9	117259725.0	117246706.0			aorta_ENCFF115HTK
peakStart	chr9	117267537.0	117263196.0			aorta_ENCFF115HTK
peakEnd	chr9	117272069.0	117268114.0			aorta_ENCFF115HTK
noPeak	chr9	117302929.0	117277854.0			aorta_ENCFF115HTK
noPeak	chr9	117334753.0	117312572.0			aorta_ENCFF115HTK
peakStart	chr9	117350206.0	117346154.0			aorta_ENCFF115HTK
peakEnd	chr9	117354063.0	117351169.0			aorta_ENCFF115HTK
noPeak	chr9	117369300.0	117356955.0			aorta_ENCFF115HTK
peakStart	chr9	117373782.0	117371274.0			aorta_ENCFF115HTK
peakEnd	chr9	117376482.0	117374360.0			aorta_ENCFF115HTK
noPeak	chr9	117403990.0	117385762.0			aorta_ENCFF115HTK
noPeak	chr9	117429160.0	117408135.0			aorta_ENCFF115HTK
noPeak	chr9	117452327.0	117432268.0			aorta_ENCFF115HTK
noPeak	chr9	117489115.0	117457773.0			aorta_ENCFF115HTK
noPeak	chr9	117519419.0	117492898.0			aorta_ENCFF115HTK
noPeak	chr9	117565153.0	117523878.0			aorta_ENCFF115HTK
noPeak	chr9	117608017.0	117573685.0			aorta_ENCFF115HTK
noPeak	chr9	117652786.0	117616525.0			aorta_ENCFF115HTK
noPeak	chr10	175099.0	128199.0			aorta_ENCFF115HTK
peakStart	chr10	180799.0	176599.0			aorta_ENCFF115HTK
peakEnd	chr10	188299.0	181899.0			aorta_ENCFF115HTK
noPeak	chr10	285699.0	193599.0			aorta_ENCFF115HTK
noPeak	chr10	988999.0	986299.0			aorta_ENCFF115HTK
noPeak	chr10	1007899.0	993799.0			aorta_ENCFF115HTK
noPeak	chr10	1028299.0	1020899.0			aorta_ENCFF115HTK
peakStart	chr10	1034099.0	1030699.0			aorta_ENCFF115HTK
peakEnd	chr10	1039999.0	1034699.0			aorta_ENCFF115HTK
noPeak	chr10	1075499.0	1042099.0			aorta_ENCFF115HTK
peakStart	chr10	1094439.0	1092299.0			aorta_ENCFF115HTK
peakEnd	chr10	1098419.0	1095039.0			aorta_ENCFF115HTK
peakStart	chr10	1102359.0	1099539.0			aorta_ENCFF115HTK
peakEnd	chr10	1105499.0	1102679.0			aorta_ENCFF115HTK
noPeak	chr10	1182899.0	1109399.0			aorta_ENCFF115HTK
noPeak	chr10	1356799.0	1187599.0			aorta_ENCFF115HTK
noPeak	chr10	3055999.0	1473999.0			aorta_ENCFF115HTK
peakStart	chr10	3110299.0	3105499.0			aorta_ENCFF115HTK
peakEnd	chr10	3113699.0	3110899.0			aorta_ENCFF115HTK
noPeak	chr10	3208699.0	3156599.0			aorta_ENCFF115HTK
peakStart	chr10	3214499.0	3211199.0			aorta_ENCFF115HTK
peakEnd	chr10	3218399.0	3214999.0			aorta_ENCFF115HTK
noPeak	chr10	3233599.0	3219899.0			aorta_ENCFF115HTK
peakStart	chr10	3235379.0	3234119.0			aorta_ENCFF115HTK
peakEnd	chr10	3236399.0	3235439.0			aorta_ENCFF115HTK
noPeak	chr10	3263699.0	3244799.0			aorta_ENCFF115HTK
noPeak	chr10	3288299.0	3274799.0			aorta_ENCFF115HTK
noPeak	chr10	3328599.0	3294399.0			aorta_ENCFF115HTK
noPeak	chr10	3416099.0	3334199.0			aorta_ENCFF115HTK
noPeak	chr10	3462799.0	3418199.0			aorta_ENCFF115HTK
noPeak	chr10	3559499.0	3520399.0			aorta_ENCFF115HTK
noPeak	chr10	3652199.0	3603699.0			aorta_ENCFF115HTK
noPeak	chr10	3807699.0	3700299.0			aorta_ENCFF115HTK
peakStart	chr10	3825399.0	3812799.0			aorta_ENCFF115HTK
peakEnd	chr10	3832199.0	3826799.0			aorta_ENCFF115HTK
noPeak	chr10	4059999.0	3993999.0			aorta_ENCFF115HTK
peakStart	chr10	4284599.0	4275399.0			aorta_ENCFF115HTK
peakEnd	chr10	4291499.0	4285199.0			aorta_ENCFF115HTK
noPeak	chr10	4347699.0	4296299.0			aorta_ENCFF115HTK
noPeak	chr10	4584999.0	4443999.0			aorta_ENCFF115HTK
noPeak	chr10	5342999.0	5159499.0			aorta_ENCFF115HTK
peakStart	chr10	5708099.0	5703899.0			aorta_ENCFF115HTK
peakEnd	chr10	5711999.0	5708399.0			aorta_ENCFF115HTK
peakStart	chr10	5727199.0	5723699.0			aorta_ENCFF115HTK
peakEnd	chr10	5731099.0	5727599.0			aorta_ENCFF115HTK
peakStart	chr10	5734799.0	5732399.0			aorta_ENCFF115HTK
peakEnd	chr10	5738099.0	5734999.0			aorta_ENCFF115HTK
noPeak	chr10	5750999.0	5741399.0			aorta_ENCFF115HTK
noPeak	chr10	5808199.0	5759699.0			aorta_ENCFF115HTK
peakStart	chr10	5818399.0	5815999.0			aorta_ENCFF115HTK
peakStart	chr10	5854799.0	5849099.0			aorta_ENCFF115HTK
peakStart	chr10	5931599.0	5927999.0			aorta_ENCFF115HTK
peakStart	chr10	6019299.0	6014799.0			aorta_ENCFF115HTK
peakStart	chr10	13142099.0	13139449.0			aorta_ENCFF115HTK
noPeak	chr10	13195799.0	13147749.0			aorta_ENCFF115HTK
peakStart	chr10	13341849.0	13339249.0			aorta_ENCFF115HTK
peakEnd	chr10	13343099.0	13341949.0			aorta_ENCFF115HTK
peakStart	chr10	13344279.0	13343179.0			aorta_ENCFF115HTK
peakEnd	chr10	13345739.0	13344299.0			aorta_ENCFF115HTK
noPeak	chr10	13385249.0	13347799.0			aorta_ENCFF115HTK
peakStart	chr10	13389999.0	13386049.0			aorta_ENCFF115HTK
peakEnd	chr10	13394349.0	13390599.0			aorta_ENCFF115HTK
noPeak	chr10	13423849.0	13395499.0			aorta_ENCFF115HTK
noPeak	chr10	13477949.0	13432699.0			aorta_ENCFF115HTK
noPeak	chr10	13542249.0	13490199.0			aorta_ENCFF115HTK
peakStart	chr10	13570249.0	13565999.0			aorta_ENCFF115HTK
peakEnd	chr10	13574649.0	13571299.0			aorta_ENCFF115HTK
noPeak	chr10	13624249.0	13576499.0			aorta_ENCFF115HTK
peakStart	chr10	13629049.0	13625999.0			aorta_ENCFF115HTK
peakEnd	chr10	13631499.0	13629499.0			aorta_ENCFF115HTK
noPeak	chr10	13672449.0	13655749.0			aorta_ENCFF115HTK
noPeak	chr10	13724249.0	13682799.0			aorta_ENCFF115HTK
noPeak	chr10	13744299.0	13733699.0			aorta_ENCFF115HTK
peakStart	chr10	13748999.0	13745099.0			aorta_ENCFF115HTK
peakEnd	chr10	13751749.0	13749899.0			aorta_ENCFF115HTK
noPeak	chr10	13793999.0	13768399.0			aorta_ENCFF115HTK
noPeak	chr10	13863999.0	13835049.0			aorta_ENCFF115HTK
peakStart	chr10	13869149.0	13867399.0			aorta_ENCFF115HTK
peakEnd	chr10	13871899.0	13869799.0			aorta_ENCFF115HTK
noPeak	chr10	13918349.0	13883999.0			aorta_ENCFF115HTK
peakStart	chr10	13933049.0	13928599.0			aorta_ENCFF115HTK
peakEnd	chr10	13936849.0	13933499.0			aorta_ENCFF115HTK
noPeak	chr10	13955449.0	13939549.0			aorta_ENCFF115HTK
noPeak	chr10	13994599.0	13957199.0			aorta_ENCFF115HTK
noPeak	chr10	14111799.0	14091799.0			aorta_ENCFF115HTK
noPeak	chr10	14181399.0	14139799.0			aorta_ENCFF115HTK
noPeak	chr10	14296599.0	14261199.0			aorta_ENCFF115HTK
noPeak	chr10	14406799.0	14352199.0			aorta_ENCFF115HTK
noPeak	chr10	14502599.0	14452199.0			aorta_ENCFF115HTK
noPeak	chr10	14573399.0	14550599.0			aorta_ENCFF115HTK
noPeak	chr10	14610199.0	14590899.0			aorta_ENCFF115HTK
peakStart	chr10	14645649.0	14641699.0			aorta_ENCFF115HTK
peakEnd	chr10	14649499.0	14646699.0			aorta_ENCFF115HTK
noPeak	chr10	14682749.0	14657049.0			aorta_ENCFF115HTK
noPeak	chr11	85328199.0	85263399.0			aorta_ENCFF115HTK
peakStart	chr11	85338799.0	85332999.0			aorta_ENCFF115HTK
peakEnd	chr11	85344299.0	85339299.0			aorta_ENCFF115HTK
peakStart	chr11	85358899.0	85354999.0			aorta_ENCFF115HTK
peakEnd	chr11	85362999.0	85359299.0			aorta_ENCFF115HTK
peakStart	chr11	85375199.0	85368299.0			aorta_ENCFF115HTK
peakEnd	chr11	85378599.0	85375699.0			aorta_ENCFF115HTK
noPeak	chr14	53570499.0	53534199.0			aorta_ENCFF115HTK
peakStart	chr14	53618799.0	53614699.0			aorta_ENCFF115HTK
peakEnd	chr14	53623699.0	53619699.0			aorta_ENCFF115HTK
noPeak	chr14	53675899.0	53631799.0			aorta_ENCFF115HTK
peakStart	chr14	53684379.0	53682419.0			aorta_ENCFF115HTK
peakEnd	chr14	53686439.0	53684619.0			aorta_ENCFF115HTK
noPeak	chr14	53724699.0	53690599.0			aorta_ENCFF115HTK
noPeak	chr14	53763219.0	53728179.0			aorta_ENCFF115HTK
noPeak	chr14	53813879.0	53776119.0			aorta_ENCFF115HTK
noPeak	chr14	53866059.0	53829259.0			aorta_ENCFF115HTK
noPeak	chr14	53918959.0	53878619.0			aorta_ENCFF115HTK
noPeak	chr14	54394499.0	54094499.0			aorta_ENCFF115HTK
noPeak	chr14	54411339.0	54395979.0			aorta_ENCFF115HTK
peakStart	chr14	54419759.0	54416459.0			aorta_ENCFF115HTK
peakEnd	chr14	54425819.0	54421499.0			aorta_ENCFF115HTK
noPeak	chr14	54456579.0	54433499.0			aorta_ENCFF115HTK
noPeak	chr1	30178239.0	30162499.0			aorta_ENCFF502AXL
peakStart	chr1	30179859.0	30178879.0			aorta_ENCFF502AXL
peakEnd	chr1	30180659.0	30179919.0			aorta_ENCFF502AXL
noPeak	chr1	30210999.0	30181959.0			aorta_ENCFF502AXL
noPeak	chr1	30447699.0	30239499.0			aorta_ENCFF502AXL
noPeak	chr1	30553199.0	30457399.0			aorta_ENCFF502AXL
peakEnd	chr1	30560359.0	30559139.0			aorta_ENCFF502AXL
noPeak	chr1	30580319.0	30560679.0			aorta_ENCFF502AXL
noPeak	chr1	30798499.0	30581499.0			aorta_ENCFF502AXL
noPeak	chr1	31034599.0	30805499.0			aorta_ENCFF502AXL
noPeak	chr1	31130799.0	31039599.0			aorta_ENCFF502AXL
noPeak	chr1	31174199.0	31134159.0			aorta_ENCFF502AXL
noPeak	chr1	31188639.0	31176819.0			aorta_ENCFF502AXL
peakEnd	chr1	31193619.0	31191899.0			aorta_ENCFF502AXL
noPeak	chr1	31222219.0	31193939.0			aorta_ENCFF502AXL
noPeak	chr1	39543587.0	39501168.0			aorta_ENCFF502AXL
noPeak	chr1	39566350.0	39551794.0			aorta_ENCFF502AXL
peakStart	chr1	39570953.0	39567901.0			aorta_ENCFF502AXL
peakEnd	chr1	39578216.0	39571901.0			aorta_ENCFF502AXL
noPeak	chr1	39592952.0	39579058.0			aorta_ENCFF502AXL
noPeak	chr1	39622319.0	39612319.0			aorta_ENCFF502AXL
noPeak	chr1	39624950.0	39622424.0			aorta_ENCFF502AXL
noPeak	chr1	39632739.0	39626002.0			aorta_ENCFF502AXL
noPeak	chr1	51690199.0	51643799.0	tdhock5@gmail.com	tdhock5@gmail.com	aorta_ENCFF502AXL
peakStart	chr1	51702399.0	51698499.0		tdhock5@gmail.com	aorta_ENCFF502AXL
peakEnd	chr1	51707799.0	51702499.0	tdhock5@gmail.com	tdhock5@gmail.com	aorta_ENCFF502AXL
noPeak	chr1	51720099.0	51708699.0	tdhock5@gmail.com	tdhock5@gmail.com	aorta_ENCFF502AXL
noPeak	chr1	51788899.0	51772199.0	tdhock5@gmail.com	tdhock5@gmail.com	aorta_ENCFF502AXL
noPeak	chr1	51868699.0	51837599.0			aorta_ENCFF502AXL
noPeak	chr1	51934599.0	51906599.0			aorta_ENCFF502AXL
peakStart	chr1	51983899.0	51976899.0			aorta_ENCFF502AXL
peakEnd	chr1	51987299.0	51984299.0			aorta_ENCFF502AXL
noPeak	chr1	52020099.0	51991999.0			aorta_ENCFF502AXL
noPeak	chr1	52078299.0	52033499.0			aorta_ENCFF502AXL
peakStart	chr1	52082999.0	52079899.0			aorta_ENCFF502AXL
peakEnd	chr1	52086099.0	52083299.0			aorta_ENCFF502AXL
noPeak	chr1	52122799.0	52087199.0			aorta_ENCFF502AXL
noPeak	chr1	52188399.0	52132599.0			aorta_ENCFF502AXL
peakStart	chr1	52195399.0	52192499.0			aorta_ENCFF502AXL
peakEnd	chr1	52198699.0	52195599.0			aorta_ENCFF502AXL
noPeak	chr1	52256299.0	52210399.0			aorta_ENCFF502AXL
noPeak	chr1	52330699.0	52261999.0			aorta_ENCFF502AXL
peakStart	chr1	52343999.0	52338999.0			aorta_ENCFF502AXL
peakEnd	chr1	52347899.0	52344199.0			aorta_ENCFF502AXL
noPeak	chr1	52405399.0	52351299.0			aorta_ENCFF502AXL
noPeak	chr1	52450099.0	52407399.0			aorta_ENCFF502AXL
noPeak	chr1	52491599.0	52460699.0			aorta_ENCFF502AXL
peakStart	chr1	52498899.0	52495299.0			aorta_ENCFF502AXL
peakEnd	chr1	52501699.0	52499199.0			aorta_ENCFF502AXL
noPeak	chr1	52516899.0	52502999.0			aorta_ENCFF502AXL
peakStart	chr1	52521099.0	52517499.0			aorta_ENCFF502AXL
peakEnd	chr1	52525799.0	52521499.0			aorta_ENCFF502AXL
noPeak	chr1	52560499.0	52526799.0			aorta_ENCFF502AXL
noPeak	chr1	52597399.0	52562199.0			aorta_ENCFF502AXL
peakStart	chr1	52608099.0	52601899.0			aorta_ENCFF502AXL
peakEnd	chr1	52611979.0	52608239.0			aorta_ENCFF502AXL
noPeak	chr1	52659599.0	52614899.0			aorta_ENCFF502AXL
noPeak	chr1	52863999.0	52846399.0			aorta_ENCFF502AXL
peakStart	chr1	52870199.0	52867149.0			aorta_ENCFF502AXL
peakEnd	chr1	52873499.0	52870449.0			aorta_ENCFF502AXL
peakStart	chr1	85666699.0	85661299.0			aorta_ENCFF502AXL
peakEnd	chr1	85671599.0	85666999.0			aorta_ENCFF502AXL
peakStart	chr1	150039499.0	150035099.0			aorta_ENCFF502AXL
peakEnd	chr1	150043299.0	150040299.0			aorta_ENCFF502AXL
noPeak	chr1	150105699.0	150055299.0			aorta_ENCFF502AXL
